text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
achievement,ə'tʃivmənt,成就；功绩,,,人教版高中必修4,3,,,人教版 高中必修4,高中
Joan of Arc,,圣女贞德（法国民族女英雄）,,,人教版高中必修4,3,,,人教版 高中必修4,高中
Elizabeth Fry,,伊丽莎白•弗赖伊（英国慈善家）,,,人教版高中必修4,3,,,人教版 高中必修4,高中
Quaker,'kweikə,教友派信徒；贵格会会员,,,人教版高中必修4,3,,,人教版 高中必修4,高中
welfare,'wɛl'fɛr,福利；福利事业,,,人教版高中必修4,3,,,人教版 高中必修4,高中
project,prəˈdʒɛkt; prɑdʒɛkt,项目；工程；规划,,,人教版高中必修4,3,,,人教版 高中必修4,高中
institute,'ɪnstɪtut,学会；学院；协会,,,人教版高中必修4,3,,,人教版 高中必修4,高中
China Welfare Institute,,中国福利基金会,,,人教版高中必修4,3,,,人教版 高中必修4,高中
specialist,'spɛʃəlɪst,专家；专业工作者,,,人教版高中必修4,3,,,人教版 高中必修4,高中
specialize,'spɛʃəlaɪz,专攻；专门从事；专注于,,,人教版高中必修4,3,,,人教版 高中必修4,高中
Jane Goodall,,简•古道尔(英国动物学家),,,人教版高中必修4,3,,,人教版 高中必修4,高中
chimp,tʃɪmp,（非洲）黑猩猩,,,人教版高中必修4,3,,,人教版 高中必修4,高中
connection,kə'nɛkʃən,关系；连接,,,人教版高中必修4,3,,,人教版 高中必修4,高中
human being,,人类,,,人教版高中必修4,3,,,人教版 高中必修4,高中
Jody Williams,,乔迪•威廉斯（美国诺贝尔和平奖得者）,,,人教版高中必修4,3,,,人教版 高中必修4,高中
campaign,kæm'pen,运动；战役；作战；参加运动,,,人教版高中必修4,3,,,人教版 高中必修4,高中
landmine,'lændmaɪn,地雷,,,人教版高中必修4,3,,,人教版 高中必修4,高中
organization,，ɔrɡənə'zeʃən,组织；机构；团体,,,人教版高中必修4,3,,,人教版 高中必修4,高中
Gombe National Park,,贡贝国家公园(位于坦桑尼亚),,,人教版高中必修4,3,,,人教版 高中必修4,高中
behave,bɪ'hev,（举止或行为）表现,,,人教版高中必修4,3,,,人教版 高中必修4,高中
behaviour,bɪ'hevjər,(等于behaior)行为；举止；习性,,,人教版高中必修4,3,,,人教版 高中必修4,高中
