text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
hurdling,,跨栏运动,,,人教版高中选修9,3,,,人教版 高中选修9,高中
boxing,'bɑksɪŋ,拳击,,,人教版高中选修9,3,,,人教版 高中选修9,高中
hula hooping,,玩呼啦圈,,,人教版高中选修9,3,,,人教版 高中选修9,高中
pogo stick jumping,,弹簧单高跷游戏,,,人教版高中选修9,3,,,人教版 高中选修9,高中
jumping jack,,跳爆竹,,,人教版高中选修9,3,,,人教版 高中选修9,高中
somersaulting,'sʌmɚsɔlt,翻筋斗,,,人教版高中选修9,3,,,人教版 高中选修9,高中
lunge,lʌndʒ,刺；越近，前冲,,,人教版高中选修9,3,,,人教版 高中选修9,高中
Ashrita Furman,,阿什里塔.弗曼,,,人教版高中选修9,3,,,人教版 高中选修9,高中
Guinness,'ɡinis,吉尼斯,,,人教版高中选修9,3,,,人教版 高中选修9,高中
Guiness Book of World Records,,《吉尼斯世界纪录大全》,,,人教版高中选修9,3,,,人教版 高中选修9,高中
approximate,ə'prɑksɪmət,近似的，大概的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
approximately,ə'prɑksɪmətli,近似地，大约地,,,人教版高中选修9,3,,,人教版 高中选修9,高中
conventional,kən'vɛnʃənl,传统的；习俗的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
laughter,'læftɚ,笑，笑声,,,人教版高中选修9,3,,,人教版 高中选修9,高中
reality,rɪ'æləti,真实，事实,,,人教版高中选修9,3,,,人教版 高中选修9,高中
in reality,,实际上，现实,,,人教版高中选修9,3,,,人教版 高中选修9,高中
ajustment,,调节，调整,,,人教版高中选修9,3,,,人教版 高中选修9,高中
tough,tʌf,困难的；强硬的；顽强地,,,人教版高中选修9,3,,,人教版 高中选修9,高中
extreme,ɪk'strim,极端的，偏激的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
vomit,'vɑmɪt,呕吐物,,,人教版高中选修9,3,,,人教版 高中选修9,高中
gymnastics,,体操，体能训练,,,人教版高中选修9,3,,,人教版 高中选修9,高中
gymnastically,,体能训练方面,,,人教版高中选修9,3,,,人教版 高中选修9,高中
unfit,ʌn'fɪt,不太健康的；不适宜的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
fascinate,'fæsə'net,使着迷，入迷,,,人教版高中选修9,3,,,人教版 高中选修9,高中
meditation,，mɛdɪ'teʃən,沉思，冥想,,,人教版高中选修9,3,,,人教版 高中选修9,高中
Sri chinmoy,,斯里琴摩,,,人教版高中选修9,3,,,人教版 高中选修9,高中
spiritual,'spɪrɪtʃʊəl,精神上的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
marathon,'mærə，θɑn,马拉松赛跑,,,人教版高中选修9,3,,,人教版 高中选修9,高中
urge,ɝdʒ,催促，力劝,,,人教版高中选修9,3,,,人教版 高中选修9,高中
accomplish,ə'kɑmplɪʃ,完成，实现,,,人教版高中选修9,3,,,人教版 高中选修9,高中
motivation,，motə'veʃən,动机,,,人教版高中选修9,3,,,人教版 高中选修9,高中
devotion,dɪ'voʃən,热爱，投入,,,人教版高中选修9,3,,,人教版 高中选修9,高中
soul,sol,灵魂，心灵，精神,,,人教版高中选修9,3,,,人教版 高中选修9,高中
sacred,'sekrɪd,宗教的，庄严的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
deed,did,行为，行动,,,人教版高中选修9,3,,,人教版 高中选修9,高中
conception,kən'sɛpʃən,主意；计划,,,人教版高中选修9,3,,,人教版 高中选修9,高中
tact,tækt,机敏，乖巧，老练，技巧,,,人教版高中选修9,3,,,人教版 高中选修9,高中
regret,rɪ'ɡrɛt,后悔；感到抱歉,,,人教版高中选修9,3,,,人教版 高中选修9,高中
repentance,rɪ'pɛntəns,后悔,,,人教版高中选修9,3,,,人教版 高中选修9,高中
wisdom,'wɪzdəm,智慧,,,人教版高中选修9,3,,,人教版 高中选修9,高中
virtue,'vɝtʃʊ,美德,,,人教版高中选修9,3,,,人教版 高中选修9,高中
noble,'nobl,高尚的；贵族的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
doom,dʊm,注定,,,人教版高中选修9,3,,,人教版 高中选修9,高中
bid,bɪd,出价；投标,,,人教版高中选修9,3,,,人教版 高中选修9,高中
juggle,'dʒʌɡl,耍把戏，玩杂耍,,,人教版高中选修9,3,,,人教版 高中选修9,高中
triathlon,traɪ'æθlən,三项全能运动,,,人教版高中选修9,3,,,人教版 高中选修9,高中
triathlete,,三项全能运动员,,,人教版高中选修9,3,,,人教版 高中选修9,高中
amateur,ˈæmətər,业余爱好者,,,人教版高中选修9,3,,,人教版 高中选修9,高中
champion,'tʃæmpɪən,冠军，优胜者,,,人教版高中选修9,3,,,人教版 高中选修9,高中
therefore,'ðɛrfɔr,因此，所以,,,人教版高中选修9,3,,,人教版 高中选修9,高中
Barcelona,，ba:si'ləunə,巴塞罗那（西班牙东北部港口城市）,,,人教版高中选修9,3,,,人教版 高中选修9,高中
springboard,'sprɪŋbɔrd,跳板；(游泳或体操运动中的) 跳板,,,人教版高中选修9,3,,,人教版 高中选修9,高中
economics,'ikə'nɑmɪks; 'ɛkə'nɑmɪks,经济学,,,人教版高中选修9,3,,,人教版 高中选修9,高中
Slovenia,sləu'vi:niə,斯洛文尼亚（国名）,,,人教版高中选修9,3,,,人教版 高中选修9,高中
entire,ɪn'taɪɚ,全部的，完整的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
the Danube River,,多瑙河（位于欧洲）,,,人教版高中选修9,3,,,人教版 高中选修9,高中
attain,ə'ten,获得；达到,,,人教版高中选修9,3,,,人教版 高中选修9,高中
the Parana River,,巴拉那河(位于南美洲中南部，该州第二大河),,,人教版高中选修9,3,,,人教版 高中选修9,高中
profile,'profaɪl,（人物或事物之）简介；侧面，轮廓,,,人教版高中选修9,3,,,人教版 高中选修9,高中
courageous,kə'redʒəs,勇敢的，有胆量的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
appreciate,ə'priʃɪet,鉴赏，感激,,,人教版高中选修9,3,,,人教版 高中选修9,高中
appreciation,ə，priʃɪ'eʃən,感谢，感激；欣赏,,,人教版高中选修9,3,,,人教版 高中选修9,高中
accountant,ə'kaʊntənt,会计,,,人教版高中选修9,3,,,人教版 高中选修9,高中
receptionist,rɪ'sɛpʃənɪst,招待员,,,人教版高中选修9,3,,,人教版 高中选修9,高中
lawyer,'lɔjɚ,律师,,,人教版高中选修9,3,,,人教版 高中选修9,高中
politician,，pɑlə'tɪʃən,政客，政治家,,,人教版高中选修9,3,,,人教版 高中选修9,高中
scarf,skɑrf,围巾，头巾，领巾,,,人教版高中选修9,3,,,人教版 高中选修9,高中
zip,zɪp,拉链,,,人教版高中选修9,3,,,人教版 高中选修9,高中
underwear,'ʌndɚwɛr,内衣裤,,,人教版高中选修9,3,,,人教版 高中选修9,高中
overcoat,'ovɚkot,外套大衣，长大衣,,,人教版高中选修9,3,,,人教版 高中选修9,高中
salary,'sæləri,薪水,,,人教版高中选修9,3,,,人教版 高中选修9,高中
wage,wedʒ,工资,,,人教版高中选修9,3,,,人教版 高中选修9,高中
Marco Polo,,马可.波罗,,,人教版高中选修9,3,,,人教版 高中选修9,高中
latitude,'lætɪtud,纬度,,,人教版高中选修9,3,,,人教版 高中选修9,高中
voyage,'vɔɪɪdʒ,航海，航行,,,人教版高中选修9,3,,,人教版 高中选修9,高中
mercy,'mɝsi,仁慈，宽恕，怜悯,,,人教版高中选修9,3,,,人教版 高中选修9,高中
at the mercy of,,受……支配,,,人教版高中选修9,3,,,人教版 高中选修9,高中
encyclopedia,ɪnˌsaɪkləˈpidiɚ,百科全书,,,人教版高中选修9,3,,,人教版 高中选修9,高中
alongside,ə'lɔŋ'saɪd,靠着，沿着；；在旁边，沿着边,,,人教版高中选修9,3,,,人教版 高中选修9,高中
exploration,，ɛksplə'reʃən,探险，探测,,,人教版高中选修9,3,,,人教版 高中选修9,高中
minimum,'mɪnɪməm,最小的，最低的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
celestial,sə'lɛstʃəl,天上的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
pole,pol,极地，柱，杆,,,人教版高中选修9,3,,,人教版 高中选修9,高中
equator,ɪ'kwetɚ,赤道,,,人教版高中选修9,3,,,人教版 高中选修9,高中
horizon,hə'raɪzn,地平线；视野,,,人教版高中选修9,3,,,人教版 高中选修9,高中
overhead,，ovɚ'hɛd,在头上的,,,人教版高中选修9,3,,,人教版 高中选修9,高中
seaweed,'si'wid,海草，海藻,,,人教版高中选修9,3,,,人教版 高中选修9,高中
nowhere,'no'wɛr,无处,,,人教版高中选修9,3,,,人教版 高中选修9,高中
